action_sequence,anchor_id,degradation_auc_loss,degradation_l_bd,degradation_p_cliff,episode_id,ge_audc_f,ge_boundary_hit,ge_boundary_lambda_star,ge_cell_missing_reason,ge_cell_valid,ge_contract_margin_min,ge_hard_boundary_hit,ge_valid_lambda_coverage,instruction,perturbation_intensity,perturbation_seed,perturbation_type,rebound_baseline_loaded,rebound_baseline_match_level,rebound_c_rec,rebound_c_rec_cog,rebound_c_rec_missing_reason,rebound_c_rec_phy,rebound_c_rec_plan,rebound_c_rec_sim,rebound_c_rec_state_debt,rebound_c_rec_valid,rebound_formal_window_count,rebound_g_rec_total,rebound_num_recovery_windows,rebound_raw_window_count,rebound_skipped_window_count,rebound_tracker_window_count,rebound_tracker_window_open_final,rebound_w_rem_star,replanning_count_0,replanning_count_1,run_id,runtime,sim_step_count,stability_beta,stability_beta_action,stability_beta_neighborhood,stability_beta_neighborhood_missing_reason,stability_beta_neighborhood_valid,stability_beta_out,stability_beta_progress,stability_beta_scope,stability_beta_success,stability_beta_vv,stability_clean_ref_strategy,stability_clean_ref_valid,stability_n_clean_ref,stability_p_cbf,stability_value_delta_variance,task_percent_complete,task_state_success
"agent0:Explore[entryway_1]|agent1:Wait[None]|agent0:Rearrange[cup_0, bench_51]|agent1:Rearrange[toy_food_2, bench_51]|agent0:Rearrange[cup_0, on, bench_51, None, None]|agent1:Rearrange[squeezer_1, on, bench_51, None, None]|agent0:Wait[None]|agent1:Rearrange[squeezer_1, on, bench_51, None, None]|agent0:Rearrange[toy_food_2, on, bench_51, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",11,1266.0,,1.0,11,0.0,0.0,,,0.0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",0.4,0,irrelevant_perturbation,1.0,exact,12.49161908323709,27.39712549205314,,9.1379307193817,,,0.5632183713832749,1.0,1.0,362.2569659054947,1.0,1.0,0.0,1.0,0.0,29.0,6.0,6.0,0,219.72571682929993,1264.0,0.733307157316482,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,49.0,0.0002335361496079713,1.0,1.0
"agent0:Rearrange[credit_card_0, bedroom_1]|agent1:Wait[None]|agent0:Navigate[hallway_1]|agent1:Wait[None]|agent0:Rearrange[credit_card_0, on, table_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",9,417.0,,1.0,9,0.0,0.0,,,0.0,0.0,0.0,0.0,Take the credit card from the hallway to the bedroom and put it on the bedside table.,0.4,0,irrelevant_perturbation,1.0,exact,6.4960738482414495,14.362643182897363,,4.689655010701551,,,0.0,1.0,1.0,188.3861480950759,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,66.45493412017822,416.0,0.7549008667881344,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0011708111269399524,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle, table_16]|agent1:Rearrange[toy_animal, table_16]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_1, on, table_16, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Rearrange[toy_animal_2, on, table_16, next_to, toy_vehicle_1]|agent0:Done[None]|agent1:Done[None]",125,1450.0,,1.0,125,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,0.4,0,irrelevant_perturbation,1.0,exact,20.318145304072548,41.977925087684845,,23.18017912726271,,,0.0,1.0,2.0,719.434947954508,2.0,2.0,0.0,2.0,0.0,19.25,6.0,6.0,0,242.80751299858093,1447.0,0.7127307147646333,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0006897816201671958,0.5,0.0
"agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[plate_0, table_21]|agent1:Rearrange[plate_1, table_21]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[plate_0, on, table_21, None, None]|agent1:Rearrange[plate_1, on, table_21, None, None]|agent0:Wait[None]|agent1:Rearrange[plate_1, on, table_21, None, None]|agent0:Rearrange[plate_2, on, table_21, None, None]|agent1:Rearrange[plate_3, on, table_21, None, None]|agent0:Rearrange[glass_4, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[glass_5, on, table_21, None, None]|agent1:Place[plate_3, on, table_21, None, None]|agent0:Rearrange[glass_6, on, table_21, None, None]|agent1:Rearrange[glass_7, on, table_21, None, None]|agent0:Wait[None]|agent1:Rearrange[glass_7, on, table_21, None, None]|agent0:Rearrange[glass_6, on, table_21, None, None]|agent1:Rearrange[fork_10, on, table_21, None, None]|agent0:Rearrange[glass_5, on, table_21, None, None]|agent1:Rearrange[fork_11, on, table_21, None, None]|agent0:Rearrange[fork_10, on, table_21, None, None]|agent1:Rearrange[fork_8, on, table_21, None, None]|agent0:Wait[None]|agent1:Rearrange[fork_8, on, table_21, None, None]|agent0:Rearrange[glass_6, on, table_21, None, None]|agent1:Rearrange[fork_9, on, table_21, None, None]|agent0:Rearrange[fork_8, on, table_21, None, None]|agent1:Wait[None]|agent0:Rearrange[fork_11, on, table_21, None, None]|agent1:Place[fork_9, on, table_21, None, None]|agent0:Wait[None]|agent1:Navigate[table_21]|agent0:Rearrange[fork_11, on, table_21, None, None]|agent1:Place[fork_9, on, table_21, None, None]|agent0:Rearrange[fork_11, on, table_21, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",129,3550.0,,1.0,129,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",0.4,0,irrelevant_perturbation,1.0,exact,66.7415655364326,122.64858584737516,,105.29723688389684,,,1.2342342008765546,1.0,2.0,629.0925214542297,2.0,2.0,0.0,2.0,0.0,19.25,21.0,21.0,0,1943.9114818572998,3548.0,0.7597657201874521,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,208.0,0.0005117635009810328,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Explore[living_room_1]|agent0:Wait[None]|agent1:Explore[living_room_1]|agent0:Explore[bedroom_1]|agent1:Explore[bedroom_1]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Rearrange[toy_food_1, chest_of_drawers_40]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Rearrange[toy_food_1, on, chest_of_drawers_40, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_food_1, on, chest_of_drawers_40, None, None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_40, None, None]|agent1:Rearrange[toy_food_3, on, chest_of_drawers_40, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_food_3, on, chest_of_drawers_40, None, None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",79,2498.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,0.6,0,irrelevant_perturbation,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,11.0,11.0,0,666.2738420963287,2495.0,0.7226685274118188,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,307.0,0.0004609772004187107,1.0,1.0
"agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, table_14]|agent1:Wait[None]|agent0:Rearrange[sushi_mat_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",127,893.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,0.6,0,irrelevant_perturbation,1.0,exact,15.96616168642639,30.931033416171253,,21.965516483947706,,,0.0,1.0,1.0,463.01870487252705,1.0,1.0,0.0,1.0,0.0,29.0,4.0,4.0,0,120.68343043327332,892.0,0.7262979479569791,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0008514956571161747,1.0,1.0
"agent0:Rearrange[toy_food, chest_of_drawers_37]|agent1:Rearrange[toy_fire_truck, chest_of_drawers_37]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_36, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_36, None, None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent0:Done[None]|agent1:Done[None]",78,1086.0,,1.0,78,0.0,0.0,,,0.0,0.0,0.0,0.0,Put the toy food and the toy fire truck on the other chest of drawers in the bedroom.,0.6,0,irrelevant_perturbation,1.0,exact,17.06359130721508,33.08678046827193,,23.3793095386445,,,0.24137930202140329,1.0,1.0,494.84416497282865,1.0,1.0,0.0,1.0,0.0,29.0,7.0,7.0,0,207.3930857181549,1083.0,0.7457381198909435,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,21.0,0.050030529499053955,1.0,1.0
"agent0:Wait[None]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Pick[ramekin_0]|agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Pick[ramekin_1]|agent0:Navigate[table_21]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Pick[ramekin_1]|agent0:Pick[sushi mat_0]|agent1:Navigate[table_21]|agent0:Wait[None]|agent1:Wait[None]|agent0:Navigate[table_21]|agent1:Navigate[table_21]|agent0:Wait[None]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Pick[ramekin_1]|agent0:Wait[None]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Pick[ramekin_1]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[sushi mat_0, table_29]|agent1:Rearrange[ramekin_1, table_29]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Navigate[table_21]|agent1:Navigate[table_29]|agent0:Navigate[table_21]|agent1:Navigate[table_29]|agent0:Pick[sushi mat_0]|agent1:Navigate[table_21]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Pick[sushi mat_0]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi_mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Wait[None]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Navigate[table_29]|agent0:Place[sushi mat_0, on, table_29, None, None]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Navigate[table_29]|agent1:Navigate[table_29]|agent0:Place[sushi mat_0, on, table_29, None, None]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Navigate[table_29]|agent1:Navigate[table_29]|agent0:Place[sushi mat_0, on, table_29, None, None]|agent1:Place[ramekin_1, on, table_29, None, None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[sushi mat_0, on, table_29, None, None]|agent1:Rearrange[ramekin_1, on, table_29, None, None]|agent0:Place[sushi mat_0, on, table_29, None, None]|agent1:Navigate[table_21]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",60,3467.0,,1.0,60,0.0,0.0,,,0.0,0.0,0.0,0.0,"Move the sushi mat, ramekin, and spoon from the dining room table to the entryway table.",0.6,0,irrelevant_perturbation,1.0,exact,250.8901684686791,436.27462744453607,,445.05475851415764,,,0.3908045842251292,1.0,10.0,1844.3406300388735,10.0,10.0,0.0,10.0,0.0,26.4,49.0,49.0,0,1335.1211023330688,3447.0,0.6406544577834684,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,34.0,0.00021842251589987427,0.3333333333333333,0.0
"agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[toy_pineapple_1, living_room_1]|agent1:Wait[None]|agent0:Rearrange[toy_pineapple_1, on, couch_23, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_0, on, couch_23, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[toy_pineapple_1, on, chair_32, None, None]|agent1:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Rearrange[stuffed_toy_0, on, chair_32, None, None]|agent0:Done[None]|agent1:Done[None]",81,1699.0,,1.0,81,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the stuffed toy and toy pineapple from the dining room to the living room. Place them on a chair.,0.6,0,irrelevant_perturbation,1.0,exact,24.085371161800346,51.56953845162511,,21.75861993935793,,,0.04597700990883873,1.0,1.0,698.4757877775812,1.0,1.0,0.0,1.0,0.0,29.0,9.0,9.0,0,264.39969515800476,1696.0,0.7534494438962847,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,4.0,0.000755767454393208,1.0,1.0
"agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_2]|agent1:Wait[None]|agent0:Rearrange[cushion_0, chair_28]|agent1:Rearrange[toy_construction_set_1, table_10]|agent0:Rearrange[cushion_0, on, chair_28, None, None]|agent1:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent0:Wait[None]|agent1:Rearrange[toy_construction_set_1, on, table_10, None, None]|agent0:Done[None]|agent1:Done[None]",1,3040.0,,1.0,1,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me move the cushion from the bedroom chair to the living room chair. Move the toy construction set from the bedroom table to the living room table.,0.6,0,irrelevant_perturbation,1.0,exact,51.80135870523466,96.63850241476429,,79.51723863733659,,,0.3448275743162905,1.0,1.0,1502.239454253164,1.0,1.0,0.0,1.0,0.0,29.0,6.0,6.0,0,594.0866816043854,3038.0,0.6552180772668097,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,30.0,0.006013534031808376,1.0,1.0
"agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Navigate[entryway_1]|agent1:Wait[None]|agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Rearrange[cup_0, bench_51]|agent1:Rearrange[squeezer_1, bench_51]|agent0:Rearrange[cup_0, on, bench_51, None, None]|agent1:Rearrange[squeezer_1, on, bench_51, None, None]|agent0:Wait[None]|agent1:Rearrange[squeezer_1, on, bench_51, None, None]|agent0:Rearrange[toy_food_2, on, bench_51, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",11,2220.0,,1.0,11,0.0,0.0,,,0.0,0.0,0.0,0.0,"Put the mug, squeezer, and toy food on the bench in the entryway.",0.6,0,irrelevant_perturbation,1.0,exact,33.601842065676564,65.19022763711858,,44.99999844827592,,,1.068965480380499,1.0,1.0,974.4534535064624,1.0,1.0,0.0,1.0,0.0,29.0,8.0,8.0,0,472.42725110054016,2218.0,0.5864864864864865,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,93.0,0.0044724661856889725,1.0,1.0
"agent0:Explore[hallway_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Explore[bedroom_2]|agent1:Wait[None]|agent0:Wait[None]|agent1:Pick[credit_card_0]|agent0:Wait[None]|agent1:Navigate[table_30]|agent0:Wait[None]|agent1:Pick[credit_card_0]|agent0:Wait[None]|agent1:Rearrange[credit_card_0, table_13]|agent0:Wait[None]|agent1:Place[credit_card_0, on, table_22, None, None]|agent0:Wait[None]|agent1:Navigate[table_22]|agent0:Wait[None]|agent1:Place[credit_card_0, on, table_22, None, None]|agent0:Done[None]|agent1:Done[None]",9,2850.0,,1.0,9,0.0,0.0,,,0.0,0.0,0.0,0.0,Take the credit card from the hallway to the bedroom and put it on the bedside table.,0.6,0,irrelevant_perturbation,1.0,exact,55.52943203776523,98.62126096708295,,97.79310007609999,,,0.0,1.0,3.0,1610.3535846246236,3.0,3.0,0.0,3.0,0.0,29.0,11.0,11.0,0,498.926216840744,2849.0,0.5926315789473685,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.012414176017045975,1.0,1.0
"agent0:Rearrange[kettle, counter_34, on, stool_18]|agent1:Rearrange[potato, counter_34, on, stool_18]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Rearrange[kettle_0, on, stool_18, None, None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Wait[None]|agent1:Rearrange[potato_1, on, stool_18, None, None]|agent0:Done[None]|agent1:Done[None]",80,1044.0,,1.0,80,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the kettle and potato from the counter to the stool in the kitchen.,0.6,0,irrelevant_perturbation,1.0,exact,16.097291788467214,29.638504725109026,,25.06896465279432,,,0.42528734165675847,1.0,1.0,466.82147796284096,1.0,1.0,0.0,1.0,0.0,29.0,5.0,5.0,0,163.7212815284729,1042.0,0.7319140444778487,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,37.0,0.0005182710592634976,1.0,1.0
"agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Rearrange[cellphone_0, table_14]|agent1:Rearrange[phone_stand_1, table_14]|agent0:Rearrange[cellphone_0, on, table_14, next_to, None]|agent1:Rearrange[phone_stand_1, on, table_14, next_to, cellphone_0]|agent0:Rearrange[cellphone_0, on, table_14, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Rearrange[phone_stand_1, on, table_14, next_to, cellphone_0]|agent0:Done[None]|agent1:Done[None]",126,1686.0,,1.0,126,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me create a relaxing atmosphere in the living room. Place the phone and phone stand on the coffee table, next to each other.",0.6,0,irrelevant_perturbation,1.0,exact,18.216841405703207,34.513512580715876,,27.243242506939392,,,0.0,1.0,1.0,674.02315022786,1.0,1.0,0.0,1.0,0.0,37.0,7.0,7.0,0,295.57339882850647,1683.0,0.7186008311469907,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,18.0,0.000221727677853778,1.0,1.0
"agent0:Rearrange[toy_vehicle_0, table_16]|agent1:Rearrange[toy_animal_0, table_16]|agent0:Wait[None]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_vehicle_1, on, table_16, None, None]|agent1:Rearrange[toy_construction_set_3, None, None, None, None]|agent0:Wait[None]|agent1:Wait[None]|agent0:Pick[toy_vehicle_1]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_37]|agent1:Wait[None]|agent0:Pick[toy_vehicle_1]|agent1:Wait[None]|agent0:Place[toy_vehicle_1, on, table_16, None, None]|agent1:Wait[None]|agent0:Navigate[table_16]|agent1:Wait[None]|agent0:Place[toy_vehicle_1, on, table_16, None, None]|agent1:Wait[None]|agent0:Navigate[chest_of_drawers_37]|agent1:Wait[None]|agent0:Pick[toy_animal_2]|agent1:Wait[None]|agent0:Navigate[table_16]|agent1:Wait[None]|agent0:Place[toy_animal_2, on, table_16, next_to, toy_vehicle_1]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",125,1035.0,,1.0,125,0.0,0.0,,,0.0,0.0,0.0,0.0,Help me tidy up the bedroom. Move the toy vehicle and toy animal from the chest of drawers to the table. Place them next to each other. Leave the toy construction set where it is.,0.6,0,irrelevant_perturbation,1.0,exact,16.540374684141714,30.896844306092436,,27.82882765027221,,,0.0,1.0,6.0,579.6574312392967,6.0,6.0,0.0,6.0,0.0,31.083333333333332,16.0,16.0,0,228.50333499908447,1031.0,0.5941508175932253,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.007996562868356705,0.5,0.0
"agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Rearrange[plate_0, table_21]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Rearrange[plate_0, table_21]|agent1:Rearrange[plate_1, table_21]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Place[plate_1, on, table_21, None, None]|agent0:Pick[plate_0]|agent1:Pick[plate_1]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[plate_0]|agent1:Pick[plate_1]|agent0:Wait[None]|agent1:Pick[plate_2]|agent0:Place[plate_0, on, dining_room_1, None, None]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Place[plate_0, on, table_21, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Pick[plate_1]|agent0:Wait[None]|agent1:Navigate[kitchen_1]|agent0:Wait[None]|agent1:Pick[plate_1]|agent0:Wait[None]|agent1:Navigate[dining_room_1]|agent0:Wait[None]|agent1:Place[plate_1, on, table_21, None, None]|agent0:Wait[None]|agent1:Explore[dining_room_1]|agent0:Wait[None]|agent1:Place[plate_1, on, table_21, None, None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_4]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Pick[glass_4]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, None, None]|agent1:Wait[None]|agent0:Explore[dining_room_1]|agent1:Wait[None]|agent0:Place[glass_4, on, table_21, None, None]|agent1:Wait[None]|agent0:Wait[None]|agent1:Navigate[kitchen_1]|agent0:Wait[None]|agent1:Pick[glass_5]|agent0:Wait[None]|agent1:Navigate[dining_room_1]|agent0:Wait[None]|agent1:Place[glass_5, on, table_21, None, None]|agent0:Wait[None]|agent1:Explore[dining_room_1]|agent0:Wait[None]|agent1:Place[glass_5, on, table_21, None, None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_10]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_10, on, table_21, None, None]|agent1:Wait[None]|agent0:Navigate[kitchen_1]|agent1:Wait[None]|agent0:Pick[fork_11]|agent1:Wait[None]|agent0:Navigate[dining_room_1]|agent1:Wait[None]|agent0:Place[fork_11, on, table_21, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",129,5162.0,,1.0,129,0.0,0.0,,,0.0,0.0,0.0,0.0,"Help me set the table for 2 people in the dining room. Place 2 plates, 2 glasses, and 2 forks at each setting, and make sure to place them next to each other.",0.6,0,irrelevant_perturbation,1.0,exact,130.22431468083474,233.2684838419643,,227.5831169456233,,,0.8026207666826997,1.0,19.0,2901.700834197109,19.0,19.0,0.0,19.0,0.0,25.13157894736842,45.0,45.0,0,3902.5613720417023,5160.0,0.7859390315335788,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,63.0,0.0012560655595734715,1.0,1.0
"agent0:Explore[living_room_1]|agent1:Wait[None]|agent0:Explore[bedroom_1]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, chest_of_drawers_36]|agent1:Wait[None]|agent0:Rearrange[toy_fire_truck_0, on, chest_of_drawers_36, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_1, on, chest_of_drawers_40, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_2, on, chest_of_drawers_40, None, None]|agent1:Wait[None]|agent0:Rearrange[toy_food_3, on, chest_of_drawers_40, None, None]|agent1:Wait[None]|agent0:Rearrange[stuffed_toy_4, on, bed_22, None, None]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",79,2903.0,,1.0,79,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the toy fire truck to the chest of drawers. Put the toy food items in a new chest of drawers. Place the stuffed toy on the bed.,0.8,0,irrelevant_perturbation,1.0,none,0.0,0.0,stage_baseline_segment_missing,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,9.0,9.0,0,873.3856954574585,2902.0,0.6910125136298579,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,0.0,0.0012762411497533321,1.0,1.0
"agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Navigate[counter_34]|agent1:Wait[None]|agent0:Pick[sushi mat]|agent1:Wait[None]|agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Explore[kitchen_1]|agent1:Wait[None]|agent0:Navigate[counter_34]|agent1:Wait[None]|agent0:Pick[sushi mat]|agent1:Wait[None]|agent0:PerceptionScanTool[None]|agent1:Wait[None]|agent0:Pick[sushi_mat_0]|agent1:Wait[None]|agent0:Navigate[table_14]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14]|agent1:Wait[None]|agent0:Place[sushi_mat_0, on, table_14]|agent1:Wait[None]|agent0:Done[None]|agent1:Done[None]",127,1852.0,,1.0,127,0.0,0.0,,,0.0,0.0,0.0,0.0,Move the sushi mat from the kitchen counter to the living room table.,0.8,0,irrelevant_perturbation,1.0,exact,36.00252818018697,64.13792882283003,,63.241377129607685,,,0.034482757431629055,1.0,3.0,1044.07335322795,3.0,3.0,0.0,3.0,0.0,29.0,15.0,15.0,0,362.3343267440796,1846.0,0.711231101511879,0.0,0.0,,0.0,0.0,0.0,single_run_episode_proxy,0.0,0.0,,0.0,0.0,3.0,0.03661338984966278,0.0,0.0
